鸦片战争,哪年到哪年,1840-1842
旧民主主义革命时期,那年到哪年,1840-1919
新民主主义革命时期,哪年到哪年,1919-1949
虎门销烟,年月日-日,1839.6.3-25
中英《南京条约》签订,年月,1842.8
中英《虎门条约》,,1843
中美《望厦条约》,,1844
中法《黄埔条约》,,1844
第二次鸦片战争,年月-年月,1856.10-1860.10
英法联军攻陷大沽炮台占领天津,,1858
英军炮轰广州，挑起第二次鸦片战争,年月,1856.10
英法联军火烧圆明园,年月,1860.10
外国侵略者第一次进入北京,年月,1860.10
《天津条约》签订,,1858
《通商章程善后条约》签订,,1858
《北京条约》签订,,1860
太平天国运动,哪年-哪年,1851-1864
金田起义,,1851
永安建制,,1851
定都天京,,1853
北伐西征,哪年-哪年,1853-1856
太平天国运动中天京陷落,,1864
《天朝田亩制度》颁布,,1853
洋务运动,世纪年代-年代,19世纪60年代-90年代
洋务运动创办近代军事工业,世纪年代,19世纪60年代
洋务运动创办近代民用企业,世纪年代,19世纪70年代
美国侵略台湾,世纪年代,19世纪60年代
日本入侵台湾,世纪年代,19世纪70年代
台湾建省,,1885
新疆建省,,1884
中发战争,哪年-哪年,1883-1885
马尾海战,,1884
中发战争爆发,,1883
刘铭传抗法,,1884
冯子材镇南关大捷,,1885
甲午中日战争,哪年-哪年,1894-1895
《马关条约》签订,,1895
美国提出“门户开放政策”,,1895
“公车上书”,,1895
戊戌变法开始（颁布“明定国是”诏书）,年月日,1898.6.11
戊戌政变（戊戌变法失败）,年月日,1898.9.21
维新运动,哪年-哪年,1895-1898
义和团运动,世纪,19世纪末
抗击八国联军,哪年-哪年,1900-1901
《辛丑条约》签订,,1901
孙中山上书李鸿章提出变法自强等改革建议,,1894
兴中会成立,,1894
孙中山发动广州起义,,1895
同盟会成立,,1905
萍浏醴起义,,1906
安庆绍兴起义,,1907
广西起义（孙中山、黄兴）,,1907
黄花岗起义（孙中山、黄兴、赵声）,年月,1911.4
武昌起义,年月日,1911.10.10
中华民国建立,年月日,1912.1.1
民国元年,,1912
清帝退位,年月日,1912.2.12
袁世凯在北京就任中华民国临时大总统,年月,1912.3
孙中山正式解除临时大总统职务,年月,1912.4
参议院选举袁世凯为临时大总统,年月日,1912.2.15
颁布《中华民国临时约法》,年月日,1912.3.11
二次革命,,1913
袁世凯复辟帝制,,1916
“中华帝国洪宪元年”,,1916
护国战争,哪年-哪年月,1915-1916.6
护法运动,,1917
新文化运动,,1915
戊戌变法,,1898
辛亥革命,,1911
五四运动,,1919
俄国十月革命胜利,,1917
李大钊《我的马克思主义观》,,1919
陈独秀在上海建立第一个共产党早期组织,,1920
中共一大召开,年月,1921.7
中共二大召开,年月,1922.7
全国工人运动的高涨,哪年-哪年,1922-1923
京汉铁路工人大罢工,年月,1923.2
中共三大,年月,1923.6
国民党一大,年月,1924.1
建立黄埔军校,年月,1924.5
北伐胜利进军,年月,1926.7
四一二反革命政变，建立“国民政府”,年月,1927.4
汪精卫在武汉召开“分工会议”,年月,1927.7
南京国民政府的建立,年月,1927.4
张学良“东北易帜”,,1928
南昌起义,年月日,1927.8.1
八七会议,年月日,1927.8.7
秋收起义,年月,1927.9
创建井冈山革命根据地,年月,1927.10
井冈山会师,年月,1928.4
古田会议,年月,1929.12
全国各地建立大小十几块改个名根据地（燎原之势）,,1930
建立革命政权,年季节,1931冬
中国工农红军长征,年月-年月,1934.10-1936.10
遵义会议,年月,1935.1
吴起镇会师,年月,1935.10
甘肃会宁会师，长征结束,年月,1936.10
九一八事变,年月日,1931.9.18
建立伪满洲国,,1932
华北自治运动,xxxx年x半年,1935下半年
一二.九运动,年月日,1935.12.9
中共发表《八一宣言》,年月日,1935.8.1
召开瓦窑堡会议,,1935底
西安事变,年月日,1936.12.12
七七事变（卢沟桥事变）,年月日,1937.7.7
发表《国共合作宣言》,年月日,1937.9.22
国民党中央通讯社公开发表中共中央提交的国共合作宣言,年月日,1937.9.22
淞沪会战,年月日-月,1937.8.13-11
中国空军首次参站,年月日,1937.8.14
上海失陷，淞沪会战结束,年月,1937.11
南京大屠杀,年月日,1937.12.13
（敌后）平型关大捷,年月,1937.9
台儿庄战役,年月,1938.3
武汉会战,年月-月,1938.6-10
（正面）万家岭战役（武汉会战）,年月-月,1938.6-10
（正面）第三次长沙会战,年月,1941.12
（正面）豫湘桂战役,,1944初
（敌后）百团大战,年月-年月,1940.8-1941.1
（敌后）毛泽东《论持久战》,,1938
中共七大,年月-月,1945.4-6
美国在日本广岛和长崎各投一枚原子弹,年月日，日,1945.8.6，9
苏联对日宣战,年月日,1945.8.8
毛泽东发表《对日寇的最后一战》,年月日,1945.8.9
日本天皇宣布无条件投降,年月日,1945.8.15
日本正式签署投降书（抗战胜利的标志）,年月日,1945.9.2
中国人民抗日战争的起止点,年月日-年月日,1931.9.18-1945.9.2
中国抗日战争胜利纪念日,年月日,1945.9.3
台湾从日本殖民者手中回到祖国怀抱,年月日,1945.10.25
南京大屠杀死难者国家公祭日,月日,12.13
蒋介石三次电邀毛泽东到重庆面商国家大计,年月,1945.8
国共双方签订《政府与中央代表会谈纪要》（双十协定）,年月日,1945.10.10
政治协商会议,年月,1946.1
内战全面爆发,年月,1946.6
国民党全面进攻最高峰,年月,1946.10
国民党对陕北解放区和山东解放区发动重点进攻,年月,1947.3
颁布《中国土地法大纲》,,1947
千里跃进大别山,,1947
辽沈战役,年月-月,1948.9-11
淮海战役,年月-月,1948.11-1949.1
平津战役,年月-月,1948.11-1949.1
渡江战役（百万雄师横渡长江，占领南京）,年月,1949.4
国共两党建立时间,年，年,1905，1921
同盟会改组为国民党,,1912
国共第一次合作,年-年,1924-1927
国共第一次分裂（十年对峙）,年-年,1927-1937
国共第二次合作,年-年,1937-1945
国共第二次分裂,年-年,1946-1949
七届二中全会（西柏坡会议）,年月,1949.3
民族资本主义产生,世纪年代,19世纪六七十年代
民族资本主义初步发展,文字,甲午中日战争后
民族资本主义的短暂春天,文字,第一次世界大战期间
民族资本主义再度受挫,文字,第一次世界大战后
科举制废除,,1905
《申报》创办,,1872
商务印书馆创办,,1897
中国自己拍摄第一部无声电影《定军山》,,1905
中国自己拍摄第一部有声电影《歌女红牡丹》,,1931
